S (m),X Coordinate (m),Y Coordinate (m),Z Coordinate (m),Temperature (°C),Time (s)
0,0,0,0,500,0.0001
4.17E-03,-4.17E-03,0,0,-59.016,0.0001
8.33E-03,-8.33E-03,0,0,38.856,0.0001
1.25E-02,-1.25E-02,0,0,-6.4736,0.0001
1.67E-02,-1.67E-02,0,0,0.75741,0.0001
2.08E-02,-2.08E-02,0,0,-0.5008,0.0001
2.50E-02,-2.50E-02,0,0,-0.68556,0.0001
2.92E-02,-2.92E-02,0,0,0.24387,0.0001
3.33E-02,-3.33E-02,0,0,-0.1308,0.0001
3.75E-02,-3.75E-02,0,0,-4.23E-02,0.0001
4.17E-02,-4.17E-02,0,0,-0.10619,0.0001
4.58E-02,-4.58E-02,0,0,5.62E-02,0.0001
5.00E-02,-5.00E-02,0,0,3.98E-02,0.0001
5.42E-02,-5.42E-02,0,0,-1.73E-02,0.0001
5.83E-02,-5.83E-02,0,0,-3.56E-02,0.0001
6.25E-02,-6.25E-02,0,0,7.96E-03,0.0001
6.67E-02,-6.67E-02,0,0,2.31E-02,0.0001
7.08E-02,-7.08E-02,0,0,-5.05E-04,0.0001
7.50E-02,-7.50E-02,0,0,-1.53E-02,0.0001
7.92E-02,-7.92E-02,0,0,-2.49E-03,0.0001
8.33E-02,-8.33E-02,0,0,9.74E-03,0.0001
8.75E-02,-8.75E-02,0,0,3.63E-03,0.0001
9.17E-02,-9.17E-02,0,0,-6.00E-03,0.0001
9.58E-02,-9.58E-02,0,0,-3.78E-03,0.0001
0.1,-0.1,0,0,3.59E-03,0.0001
0.10417,-0.10417,0,0,3.27E-03,0.0001
0.10833,-0.10833,0,0,-2.05E-03,0.0001
0.1125,-0.1125,0,0,-2.51E-03,0.0001
0.11667,-0.11667,0,0,1.11E-03,0.0001
0.12083,-0.12083,0,0,1.82E-03,0.0001
0.125,-0.125,0,0,-5.53E-04,0.0001
0.12917,-0.12917,0,0,-1.28E-03,0.0001
0.13333,-0.13333,0,0,2.31E-04,0.0001
0.1375,-0.1375,0,0,8.77E-04,0.0001
0.14167,-0.14167,0,0,-5.59E-05,0.0001
0.14583,-0.14583,0,0,-5.88E-04,0.0001
0.15,-0.15,0,0,-3.15E-05,0.0001
0.15417,-0.15417,0,0,3.86E-04,0.0001
0.15833,-0.15833,0,0,6.76E-05,0.0001
0.1625,-0.1625,0,0,-2.50E-04,0.0001
0.16667,-0.16667,0,0,-7.48E-05,0.0001
0.17083,-0.17083,0,0,1.60E-04,0.0001
0.175,-0.175,0,0,6.62E-05,0.0001
0.17917,-0.17917,0,0,-1.04E-04,0.0001
0.18333,-0.18333,0,0,-4.88E-05,0.0001
0.1875,-0.1875,0,0,7.04E-05,0.0001
0.19167,-0.19167,0,0,2.63E-05,0.0001
0.19583,-0.19583,0,0,-5.52E-05,0.0001
0.2,-0.2,0,0,6.01E-19,0.0001
0,0,0,0,500,0.001
4.17E-03,-4.17E-03,0,0,-59.016,0.001
8.33E-03,-8.33E-03,0,0,38.856,0.001
1.25E-02,-1.25E-02,0,0,-6.4736,0.001
1.67E-02,-1.67E-02,0,0,0.75741,0.001
2.08E-02,-2.08E-02,0,0,-0.5008,0.001
2.50E-02,-2.50E-02,0,0,-0.68556,0.001
2.92E-02,-2.92E-02,0,0,0.24387,0.001
3.33E-02,-3.33E-02,0,0,-0.1308,0.001
3.75E-02,-3.75E-02,0,0,-4.23E-02,0.001
4.17E-02,-4.17E-02,0,0,-0.10619,0.001
4.58E-02,-4.58E-02,0,0,5.62E-02,0.001
5.00E-02,-5.00E-02,0,0,3.98E-02,0.001
5.42E-02,-5.42E-02,0,0,-1.73E-02,0.001
5.83E-02,-5.83E-02,0,0,-3.56E-02,0.001
6.25E-02,-6.25E-02,0,0,7.96E-03,0.001
6.67E-02,-6.67E-02,0,0,2.31E-02,0.001
7.08E-02,-7.08E-02,0,0,-5.05E-04,0.001
7.50E-02,-7.50E-02,0,0,-1.53E-02,0.001
7.92E-02,-7.92E-02,0,0,-2.49E-03,0.001
8.33E-02,-8.33E-02,0,0,9.74E-03,0.001
8.75E-02,-8.75E-02,0,0,3.63E-03,0.001
9.17E-02,-9.17E-02,0,0,-6.00E-03,0.001
9.58E-02,-9.58E-02,0,0,-3.78E-03,0.001
0.1,-0.1,0,0,3.59E-03,0.001
0.10417,-0.10417,0,0,3.27E-03,0.001
0.10833,-0.10833,0,0,-2.05E-03,0.001
0.1125,-0.1125,0,0,-2.51E-03,0.001
0.11667,-0.11667,0,0,1.11E-03,0.001
0.12083,-0.12083,0,0,1.82E-03,0.001
0.125,-0.125,0,0,-5.53E-04,0.001
0.12917,-0.12917,0,0,-1.28E-03,0.001
0.13333,-0.13333,0,0,2.31E-04,0.001
0.1375,-0.1375,0,0,8.77E-04,0.001
0.14167,-0.14167,0,0,-5.59E-05,0.001
0.14583,-0.14583,0,0,-5.88E-04,0.001
0.15,-0.15,0,0,-3.15E-05,0.001
0.15417,-0.15417,0,0,3.86E-04,0.001
0.15833,-0.15833,0,0,6.76E-05,0.001
0.1625,-0.1625,0,0,-2.50E-04,0.001
0.16667,-0.16667,0,0,-7.48E-05,0.001
0.17083,-0.17083,0,0,1.60E-04,0.001
0.175,-0.175,0,0,6.62E-05,0.001
0.17917,-0.17917,0,0,-1.04E-04,0.001
0.18333,-0.18333,0,0,-4.88E-05,0.001
0.1875,-0.1875,0,0,7.04E-05,0.001
0.19167,-0.19167,0,0,2.63E-05,0.001
0.19583,-0.19583,0,0,-5.52E-05,0.001
0.2,-0.2,0,0,6.01E-19,0.001
0,0,0,0,500,0.01
4.17E-03,-4.17E-03,0,0,-36.987,0.01
8.33E-03,-8.33E-03,0,0,25.693,0.01
1.25E-02,-1.25E-02,0,0,-1.4741,0.01
1.67E-02,-1.67E-02,0,0,-0.51142,0.01
2.08E-02,-2.08E-02,0,0,0.13416,0.01
2.50E-02,-2.50E-02,0,0,-0.37801,0.01
2.92E-02,-2.92E-02,0,0,0.12334,0.01
3.33E-02,-3.33E-02,0,0,-7.86E-02,0.01
3.75E-02,-3.75E-02,0,0,-4.95E-03,0.01
4.17E-02,-4.17E-02,0,0,-1.40E-02,0.01
4.58E-02,-4.58E-02,0,0,1.13E-02,0.01
5.00E-02,-5.00E-02,0,0,1.93E-04,0.01
5.42E-02,-5.42E-02,0,0,-2.96E-03,0.01
5.83E-02,-5.83E-02,0,0,-1.23E-03,0.01
6.25E-02,-6.25E-02,0,0,1.39E-03,0.01
6.67E-02,-6.67E-02,0,0,4.93E-04,0.01
7.08E-02,-7.08E-02,0,0,-5.02E-04,0.01
7.50E-02,-7.50E-02,0,0,-2.44E-04,0.01
7.92E-02,-7.92E-02,0,0,1.99E-04,0.01
8.33E-02,-8.33E-02,0,0,1.08E-04,0.01
8.75E-02,-8.75E-02,0,0,-7.55E-05,0.01
9.17E-02,-9.17E-02,0,0,-4.74E-05,0.01
9.58E-02,-9.58E-02,0,0,2.90E-05,0.01
0.1,-0.1,0,0,2.03E-05,0.01
0.10417,-0.10417,0,0,-9.33E-06,0.01
0.10833,-0.10833,0,0,-8.58E-06,0.01
0.1125,-0.1125,0,0,2.26E-06,0.01
0.11667,-0.11667,0,0,3.59E-06,0.01
0.12083,-0.12083,0,0,-3.69E-07,0.01
0.125,-0.125,0,0,-1.49E-06,0.01
0.12917,-0.12917,0,0,-4.95E-08,0.01
0.13333,-0.13333,0,0,6.12E-07,0.01
0.1375,-0.1375,0,0,9.24E-08,0.01
0.14167,-0.14167,0,0,-2.50E-07,0.01
0.14583,-0.14583,0,0,-6.38E-08,0.01
0.15,-0.15,0,0,1.02E-07,0.01
0.15417,-0.15417,0,0,3.54E-08,0.01
0.15833,-0.15833,0,0,-4.11E-08,0.01
0.1625,-0.1625,0,0,-1.79E-08,0.01
0.16667,-0.16667,0,0,1.65E-08,0.01
0.17083,-0.17083,0,0,8.52E-09,0.01
0.175,-0.175,0,0,-6.61E-09,0.01
0.17917,-0.17917,0,0,-3.96E-09,0.01
0.18333,-0.18333,0,0,2.61E-09,0.01
0.1875,-0.1875,0,0,1.88E-09,0.01
0.19167,-0.19167,0,0,-9.31E-10,0.01
0.19583,-0.19583,0,0,-1.10E-09,0.01
0.2,-0.2,0,0,8.39E-24,0.01
0,0,0,0,500,0.1
4.17E-03,-4.17E-03,0,0,119.27,0.1
8.33E-03,-8.33E-03,0,0,-0.55518,0.1
1.25E-02,-1.25E-02,0,0,3.7991,0.1
1.67E-02,-1.67E-02,0,0,1.041,0.1
2.08E-02,-2.08E-02,0,0,-0.13224,0.1
2.50E-02,-2.50E-02,0,0,6.12E-02,0.1
2.92E-02,-2.92E-02,0,0,5.25E-03,0.1
3.33E-02,-3.33E-02,0,0,-2.10E-02,0.1
3.75E-02,-3.75E-02,0,0,3.59E-03,0.1
4.17E-02,-4.17E-02,0,0,-3.17E-03,0.1
4.58E-02,-4.58E-02,0,0,1.26E-03,0.1
5.00E-02,-5.00E-02,0,0,-1.86E-04,0.1
5.42E-02,-5.42E-02,0,0,-1.39E-04,0.1
5.83E-02,-5.83E-02,0,0,3.93E-05,0.1
6.25E-02,-6.25E-02,0,0,2.23E-05,0.1
6.67E-02,-6.67E-02,0,0,1.31E-05,0.1
7.08E-02,-7.08E-02,0,0,-1.26E-05,0.1
7.50E-02,-7.50E-02,0,0,7.72E-07,0.1
7.92E-02,-7.92E-02,0,0,5.66E-07,0.1
