S (m),X Coordinate (m),Y Coordinate (m),Z Coordinate (m),Temperature (°C),Time (s)
0,0,0,0,1000,0.0001
4.17E-03,-4.17E-03,0,0,-118.03,0.0001
8.33E-03,-8.33E-03,0,0,77.712,0.0001
1.25E-02,-1.25E-02,0,0,-12.947,0.0001
1.67E-02,-1.67E-02,0,0,1.5148,0.0001
2.08E-02,-2.08E-02,0,0,-1.0016,0.0001
2.50E-02,-2.50E-02,0,0,-1.3711,0.0001
2.92E-02,-2.92E-02,0,0,0.48774,0.0001
3.33E-02,-3.33E-02,0,0,-0.26159,0.0001
3.75E-02,-3.75E-02,0,0,-8.45E-02,0.0001
4.17E-02,-4.17E-02,0,0,-0.21238,0.0001
4.58E-02,-4.58E-02,0,0,0.11237,0.0001
5.00E-02,-5.00E-02,0,0,7.96E-02,0.0001
5.42E-02,-5.42E-02,0,0,-3.46E-02,0.0001
5.83E-02,-5.83E-02,0,0,-7.12E-02,0.0001
6.25E-02,-6.25E-02,0,0,1.59E-02,0.0001
6.67E-02,-6.67E-02,0,0,4.63E-02,0.0001
7.08E-02,-7.08E-02,0,0,-1.01E-03,0.0001
7.50E-02,-7.50E-02,0,0,-3.06E-02,0.0001
7.92E-02,-7.92E-02,0,0,-4.97E-03,0.0001
8.33E-02,-8.33E-02,0,0,1.95E-02,0.0001
8.75E-02,-8.75E-02,0,0,7.27E-03,0.0001
9.17E-02,-9.17E-02,0,0,-1.20E-02,0.0001
9.58E-02,-9.58E-02,0,0,-7.56E-03,0.0001
0.1,-0.1,0,0,7.17E-03,0.0001
0.10417,-0.10417,0,0,6.54E-03,0.0001
0.10833,-0.10833,0,0,-4.11E-03,0.0001
0.1125,-0.1125,0,0,-5.02E-03,0.0001
0.11667,-0.11667,0,0,2.23E-03,0.0001
0.12083,-0.12083,0,0,3.65E-03,0.0001
0.125,-0.125,0,0,-1.11E-03,0.0001
0.12917,-0.12917,0,0,-2.56E-03,0.0001
0.13333,-0.13333,0,0,4.62E-04,0.0001
0.1375,-0.1375,0,0,1.75E-03,0.0001
0.14167,-0.14167,0,0,-1.12E-04,0.0001
0.14583,-0.14583,0,0,-1.18E-03,0.0001
0.15,-0.15,0,0,-6.30E-05,0.0001
0.15417,-0.15417,0,0,7.73E-04,0.0001
0.15833,-0.15833,0,0,1.35E-04,0.0001
0.1625,-0.1625,0,0,-5.00E-04,0.0001
0.16667,-0.16667,0,0,-1.50E-04,0.0001
0.17083,-0.17083,0,0,3.21E-04,0.0001
0.175,-0.175,0,0,1.32E-04,0.0001
0.17917,-0.17917,0,0,-2.07E-04,0.0001
0.18333,-0.18333,0,0,-9.76E-05,0.0001
0.1875,-0.1875,0,0,1.41E-04,0.0001
0.19167,-0.19167,0,0,5.26E-05,0.0001
0.19583,-0.19583,0,0,-1.10E-04,0.0001
0.2,-0.2,0,0,1.20E-18,0.0001
0,0,0,0,1000,0.001
4.17E-03,-4.17E-03,0,0,-118.03,0.001
8.33E-03,-8.33E-03,0,0,77.712,0.001
1.25E-02,-1.25E-02,0,0,-12.947,0.001
1.67E-02,-1.67E-02,0,0,1.5148,0.001
2.08E-02,-2.08E-02,0,0,-1.0016,0.001
2.50E-02,-2.50E-02,0,0,-1.3711,0.001
2.92E-02,-2.92E-02,0,0,0.48774,0.001
3.33E-02,-3.33E-02,0,0,-0.26159,0.001
3.75E-02,-3.75E-02,0,0,-8.45E-02,0.001
4.17E-02,-4.17E-02,0,0,-0.21238,0.001
4.58E-02,-4.58E-02,0,0,0.11237,0.001
5.00E-02,-5.00E-02,0,0,7.96E-02,0.001
5.42E-02,-5.42E-02,0,0,-3.46E-02,0.001
5.83E-02,-5.83E-02,0,0,-7.12E-02,0.001
6.25E-02,-6.25E-02,0,0,1.59E-02,0.001
6.67E-02,-6.67E-02,0,0,4.63E-02,0.001
7.08E-02,-7.08E-02,0,0,-1.01E-03,0.001
